,Bug_No,Topics,Text
41,41,"3 0.20178571428571432, 4 0.1795634920634921, 2 0.16428571428571428, 5 0.12678571428571428, 0 0.1253968253968254, 6 0.11289682539682538, 1 0.0892857142857143","equalsbuilder causes stackoverflowexception when comparing objects with cyclical object references.e,g.static class testobjectreference { @suppresswarnings(""unused"") private testobjectreference reference; @suppresswarnings(""unused"") private testobject one; public testobjectreference(int one) { this.one = new testobject(one); } public void setobjectreference( testobjectreference reference) { this.reference = reference; } @override public boolean equals(object obj) { return equalsbuilder.reflectionequals(this, obj); } } "
42,42,"4 0.2047389003910743, 0 0.20312859443294226, 6 0.19588221762134805, 3 0.16287094547964112, 2 0.09201748332183114, 5 0.08235564757303887, 1 0.05900621118012421","stringutils.containsany methods incorrectly matches unicode 2.0+ supplementary characters.for example, define a test fixture to be the unicode character u+20000 where u+20000 is written in java source as ""\ud840\udc00"" private static final string charu20000 = ""\ud840\udc00""; private static final string charu20001 = ""\ud840\udc01"";you can see unicode supplementary characters correctly implemented in the jre call: assertequals(-1, charu20000.indexof(charu20001));but this is broken: assertequals(false, stringutils.containsany(charu20000, charu20001)); assertequals(false, stringutils.containsany(charu20001, charu20000));this is fine: assertequals(true, stringutils.contains(charu20000 + charu20001, charu20000)); assertequals(true, stringutils.contains(charu20000 + charu20001, charu20001)); assertequals(true, stringutils.contains(charu20000, charu20000)); assertequals(false, stringutils.contains(charu20000, charu20001));because the method calls the jre to perform the match.more than you want to know:- http://java.sun.com/developer/technicalarticles/intl/supplementary/ "
43,43,"4 0.3471464921846602, 2 0.1461286804798255, 6 0.1444323276384345, 3 0.13679873985217494, 0 0.07827456682418511, 5 0.07742639040348961, 1 0.06979280261723007","supplementary characters in utf-16 are those whose code points are above 0xffff, that is, require more than 1 java char to be encoded, as explained here: http://java.sun.com/developer/technicalarticles/intl/supplementary/currently, stringescapeutils.escapexml() isnt aware of this coding scheme and treats each char as one character, which is not always right.a possible solution in class entities would be: public void escape(writer writer, string str) throws ioexception { int len = str.length(); for (int i = 0; i < len; i++) { int code = str.codepointat(i); string entityname = this.entityname(code); if (entityname != null) { writer.write(&); writer.write(entityname); writer.write(;); } else if (code > 0x7f) { writer.write(""&#""); writer.write(code); writer.write(;); } else { writer.write((char) code); } if (code > 0xffff) { i++; } } }besides fixing escapexml(), this will also affect html escaping functions. i guess thats a good thing, but please remember i have only tested escapexml(). "
44,44,"4 0.3041157465936227, 1 0.269700800674252, 0 0.14285714285714285, 3 0.08091024020227558, 6 0.07206068268015169, 5 0.06714426183452732, 2 0.06321112515802782",can be replicated in the android emulator quite easily.stack trace:{noformat}at org.apache.commons.lang.builder.tostringbuilder.<clinit>(tostringbuilder.java:98)e/androidruntime( 1681): ... 17 moree/androidruntime( 1681): caused by: java.lang.exceptionininitializererrore/androidruntime( 1681): at org.apache.commons.lang.builder.tostringstyle$multilinetostringstyle.<init>(tostringstyle.java:2276)e/androidruntime( 1681): at org.apache.commons.lang.builder.tostringstyle.<clinit>(tostringstyle.java:94)e/androidruntime( 1681): ... 18 moree/androidruntime( 1681): caused by: java.lang.stringindexoutofboundsexceptione/androidruntime( 1681): at java.lang.string.substring(string.java:1571)e/androidruntime( 1681): at org.apache.commons.lang.systemutils.getjavaversionasfloat(systemutils.java:1153)e/androidruntime( 1681): at org.apache.commons.lang.systemutils.<clinit>(systemutils.java:818){noformat} 
45,45,"3 0.23979591836734696, 4 0.2252456538170824, 0 0.18291761148904007, 1 0.09693877551020405, 2 0.0850340136054422, 5 0.0850340136054422, 6 0.0850340136054422","findbugs:mutable.mutableobject defines equals(mutableobject) method and uses object.equals(object)this class defines a covariant version of the equals() method, but inherits the normal equals(object) method defined in the base java.lang.object class. the class should probably define a boolean equals(object) method. "
46,46,"0 0.18973214285714285, 2 0.17410714285714282, 4 0.1550099206349206, 3 0.12723214285714282, 5 0.12723214285714282, 1 0.1150793650793651, 6 0.11160714285714288","the parameter ""comparetransients"" is ignored and false is always used, as a short look in the code shows:{quote} return reflectioncompare(lhs, rhs, false, reflectuptoclass, null);{quote} "
47,47,"3 0.19950738916256155, 2 0.19663382594417075, 1 0.14874110563765733, 4 0.14203612479474548, 0 0.129584017515052, 6 0.10563765736179527, 5 0.0778598795840175","findbugs:bug: org.apache.commons.lang3.text.extendedmessageformat doesnt override java.text.messageformat.equals(object)pattern id: eq_doesnt_override_equals, type: eq, category: stylethis class extends a class that defines an equals method and adds fields, but doesnt define an equals method itself. thus, equality on instances of this class will ignore the identity of the subclass and the added fields. be sure this is what is intended, and that you dont need to override the equals method. even if you dont need to override the equals method, consider overriding it anyway to document the fact that the equals method for the subclass just return the result of invoking super.equals(o). "
48,48,"6 0.210189452124936, 5 0.13312852022529442, 0 0.1313364055299539, 1 0.1313364055299539, 2 0.1313364055299539, 3 0.1313364055299539, 4 0.1313364055299539","numberutils createnumber throws a stringindexoutofboundsexception instead of numberformatexception when a string containing both possible exponent indicators is passed in.one example of such a string is ""1ee"" "
49,49,"4 0.16562238930659984, 1 0.15685045948203843, 0 0.14661654135338345, 3 0.14661654135338345, 2 0.14223057644110276, 5 0.13345864661654136, 6 0.10860484544695069",1.1l is not a java number . but numberutils.isnumber(string) return true.perhaps change:{code:java} if (chars[i] == l || chars[i] == l) { // not allowing l with an exponent return founddigit && !hasexp; }{code}to:{code:java} if (chars[i] == l || chars[i] == l) { // not allowing l with an exponent return founddigit && !hasexp && !hasdecpoint; }{code} 
50,50,"0 0.19821912504839337, 3 0.1711188540456833, 6 0.16840882694541232, 2 0.12233836624080525, 4 0.12233836624080525, 1 0.11691831204026325, 5 0.10065814943863723","hi, i think i found a bug in the dateutils class in the method issamelocaltime.example: calendar a = calendar.getinstance();a.settimeinmillis(1297364400000l);calendar b = calendar.getinstance();b.settimeinmillis(1297321200000l);assert.assertfalse(dateutils.issamelocaltime(a, b));this is because the method compares cal1.get(calendar.hour) == cal2.get(calendar.hour) but i think it has to be cal1.get(calendar.hour_of_day) == cal2.get(calendar.hour_of_day) "
51,51,"0 0.1966765873015873, 2 0.14459325396825393, 4 0.14285714285714282, 5 0.14285714285714282, 6 0.13417658730158727, 3 0.12723214285714282, 1 0.11160714285714288","equalsbuilder synchronizes on hashcodebuilder.class for updates to its own threadlocal registry variable. while this should not lead to malfunction, it looks like a copy&paste oversight. "
52,52,"1 0.256838905775076, 4 0.20955758189800744, 0 0.182370820668693, 3 0.10199257007767645, 6 0.08780817291455588, 2 0.08544410672070245, 5 0.07598784194528878","after executing linestringutils.replaceeachrepeatedly(""aaa"", new string[]{""aa""}, new string[]{""axa""});exception is thrown:exception in thread ""main"" java.lang.illegalstateexception: timetolive of -1 is less than 0: axaxa at org.apache.commons.lang.stringutils.replaceeach(stringutils.java:3986) at org.apache.commons.lang.stringutils.replaceeach(stringutils.java:4099) at org.apache.commons.lang.stringutils.replaceeach(stringutils.java:4099) at org.apache.commons.lang.stringutils.replaceeachrepeatedly(stringutils.java:3920) "
53,53,"0 0.23106288929073743, 3 0.17902350813743217, 6 0.15089411291942936, 2 0.12698412698412698, 4 0.11854530841872613, 5 0.10307414104882458, 1 0.09041591320072336","method createnumber from numberutils is trying to parse a string with a floating point number always first as a float, that will cause that if we send a string with a number that will need a double or even a bigdecimal the number will be truncate to accommodate into the float without an exception to be thrown, so in fact we will no be returning ever neither a double nor a bigdecimal. "
54,54,"2 0.18764948901935205, 4 0.17851706892802785, 0 0.14503152859317242, 3 0.14046531854751032, 5 0.12524461839530332, 1 0.11154598825831703, 6 0.11154598825831703","try{code} stringutils.join(new object[]{ new object() { @override public string tostring() { return null; } } }, ,);{code}tostring should probably never return null, but it does in javax.mail.internet.internetaddress "
55,55,"1 0.3249299719887956, 0 0.19638966697790228, 3 0.13865546218487393, 4 0.09943977591036413, 6 0.09072517896047305, 2 0.07983193277310922, 5 0.07002801120448181","when calling unescapehtml4() on the string """" (or any string that contains these characters) an exception is thrown:exception in thread ""main"" java.lang.stringindexoutofboundsexception: string index out of range: 4 at java.lang.string.charat(string.java:686) at org.apache.commons.lang3.text.translate.numericentityunescaper.translate(numericentityunescaper.java:49) at org.apache.commons.lang3.text.translate.aggregatetranslator.translate(aggregatetranslator.java:53) at org.apache.commons.lang3.text.translate.charsequencetranslator.translate(charsequencetranslator.java:88) at org.apache.commons.lang3.text.translate.charsequencetranslator.translate(charsequencetranslator.java:60) at org.apache.commons.lang3.stringescapeutils.unescapehtml4(stringescapeutils.java:351) "
56,56,"1 0.2771272443403592, 0 0.19971376528753582, 4 0.19880301847514967, 2 0.10135310954983086, 6 0.08951340098881082, 3 0.07494145199063232, 5 0.058548009367681515","in the static initializer of org.apache.commons.lang3.stringutils, there is an attempt to load the class sun.text.normalizer.such a class is prohibited on google app engine, and the static intializer throws a java.security.accesscontrolexception.{code}caused by: java.security.accesscontrolexception: access denied (java.lang.runtimepermission accessclassinpackage.sun.text) at java.security.accesscontrolcontext.checkpermission(accesscontrolcontext.java:374) at java.security.accesscontroller.checkpermission(accesscontroller.java:546) at java.lang.securitymanager.checkpermission(securitymanager.java:532) at com.google.appengine.tools.development.devappserverfactory$customsecuritymanager.checkpermission(devappserverfactory.java:166) at java.lang.securitymanager.checkpackageaccess(securitymanager.java:1512) at java.lang.class.checkmemberaccess(class.java:2164) at java.lang.class.getmethod(class.java:1602) at org.apache.commons.lang3.stringutils.<clinit>(stringutils.java:739){code}the exception should be caught in the catch clauses around loadclass(""sun.text.normalizer"").commons lang 2 worked fine on gae. "
57,57,"3 0.1597883597883598, 2 0.15238095238095237, 6 0.14867724867724869, 4 0.14497354497354498, 0 0.13571428571428573, 1 0.13571428571428573, 5 0.1227513227513228",numberutils.createnumber() should work equally for 0x1234 and 0x1234; currently 0x1234 generates a numberformatexceptioninteger.decode() handles both upper and lower case hex. 
58,58,"3 0.19785153118486448, 0 0.18213884880551545, 4 0.17203783870450534, 2 0.12602212602212598, 6 0.1237774571107904, 5 0.1136764470097803, 1 0.0844957511624178","numberutils.createlong() does not handle hex numbers, but createinteger() handles hex and octal.this seems odd.numberutils.createnumber() assumes that hex numbers can only be integer.again, why not handle bigger hex numbers?==it is trivial to fix createlong() - just use long.decode() instead of valueof().its not clear why this was not done originally - the decode() method was added to both integer and long in java 1.2.fixing createnumber() is also fairly easy - if the hex string has more than 8 digits, use long.should we allow for leading zeros in an integer? if not, the length check is trivial. "
59,59,"0 0.26639596407038274, 6 0.19662852220991758, 2 0.16131413805832412, 4 0.13030638612033962, 3 0.08982404331241539, 1 0.08637873754152824, 5 0.0691522086870924","similar issue as https://issues.apache.org/jira/browse/httpclient-471following line throws an parseexception on a german system:d = dateutils.parsedate(""wed, 09 apr 2008 23:55:38 gmt"", new string[] {""eee, dd mmm yyyy hh:mm:ss zzz""});reason: parsedate internally calls simpledateformat without providing a locale. this causes ""mmm"" to be interpreted using the system locale. if the system is german, the date is trying to be interpreted as german date.i see following solutions: a) always instantiate simpledateformat with locale.english b) make two instances of simpledateformat. one without providing a locale and one with locale.english. try two parsings c) make as many simpledateformat instances as locales are availble iterate over all instances at the parsing attempts. d) provide an additional (optional) parameter to parsedate for providing a localei would prefer b) as this seems the best trade-off between internationalization and local usage.what do you think? "
60,60,"0 0.22619047619047622, 2 0.21532091097308492, 4 0.1790890269151139, 1 0.10300207039337472, 3 0.09937888198757762, 5 0.08850931677018634, 6 0.08850931677018634",in commons-lang 2.6 line 250 :{code}ch = chars[random.nextint(gap) + start];{code}-this line of code takes a random int to fetch a char in the _chars_ array regardless of its size.--(besides _start_ is useless here)--fixed version would be :-{code}//ch = chars[random.nextint(gap)%chars.length];{code}when user pass 0 as _end_ or when the array is not null but empty this line ends up with an exception 
61,61,"6 0.18123667377398722, 4 0.16631130063965882, 0 0.15138592750533048, 1 0.13646055437100213, 3 0.13646055437100213, 2 0.12153518123667376, 5 0.10660980810234544","randomutils invokes random#nextint(n) where n = end - start.if end <= start, then random throws:java.lang.illegalargumentexception: n must be positivethis is confusing, and does not identify the source of the problem. "
62,62,"0 0.18973214285714285, 3 0.15848214285714285, 4 0.15848214285714285, 2 0.14285714285714282, 1 0.12723214285714282, 5 0.11160714285714288, 6 0.11160714285714288",this looks like a regression from .lang versions prior to 3. if the 2 given charsequences are strings (and both not null) you should check reference equality before delegating to regionmatches() 
63,63,"0 0.23106168615150652, 6 0.19380287044957706, 2 0.18581883851344927, 4 0.13458796692329625, 1 0.09134112726927096, 5 0.09067579127459365, 3 0.07271171941830622","the work on lang-462 has introduced a time zone formatting bug in fastdateformat in commons-lang3.the problem can be seen by this snippet:{code}// always prints timezone name of machines default timezone, ignoring tz// set on calendar, even though the printed time itself respects calendars tz.calendar mycal = calendar.getinstance(timezone.gettimezone(""us/central""));system.out.println(fastdateformat.getinstance(""h:mma z"").format(mycal));{code}if you happen to be in us/central, this will print the right thing, but just try it with us/eastern, us/pacific, etc. it will print the time in the correct timezone, but the timezone name at the end (the ""z"" pattern) will always be the system default timezone. this is a regression against commons-lang 2.x.basically, when the ""forced time zone"" code was removed, the timezonenamerule class stopped respecting the calendar instances timezone, and instead now always uses the mtimezone of the fastdateformat instance itself (which is only supposed to be used when formatting timezone-less objects such as date or long).the removal of the forced time zone stuff is surely the right thing to do (it was a mess). i think the fix is to change the timezonenamerule inner class to not take a timezone instance, but rather to use the timezone on the calendar instance passed into appendto(), just like timezonenumberrule does. presumably then for efficiency, one would use the gettimezonedisplay() package-static method to quickly retrieve the required timezones display name. "
64,64,"0 0.2642857142857143, 2 0.16706349206349205, 3 0.1392857142857143, 5 0.11845238095238093, 6 0.1101190476190476, 1 0.10178571428571427, 4 0.09900793650793649","numberutils#createnumber checks for a leading ""--"" in the string, and returns null if found. this is documented as a work round for a bug in bigdecimal.returning nulll is contrary to the javadoc and the behaviour for other methods which would throw numberformatexception.its not clear whether the bigdecimal problem still exists with recent versions of java. however, if it does exist, then the check needs to be done for all invocations of bigdecimal, i.e. needs to be moved to createbigdecimal. "
65,65,"6 0.2420634920634921, 3 0.15734126984126984, 2 0.14761904761904762, 4 0.13095238095238093, 5 0.11428571428571427, 1 0.10734126984126982, 0 0.10039682539682539",the following calendars are non-gregorian [1]:ja_jp_jp - japanese imperial)th_th (with any variant) - thai buddhistthis causes errors when testing round-trip conversions.the simplest solution is to fall back to simpledateformat for these calendars.[1] http://docs.oracle.com/javase/6/docs/technotes/guides/intl/calendar.doc.html 
66,66,"2 0.21440416962805026, 0 0.1779199241885809, 5 0.14309405354181473, 6 0.12982705520018953, 3 0.12153518123667377, 1 0.10660980810234545, 4 0.10660980810234545",fdp does not handled unterminated quotes the same way as simpledateformatfor example:format: \d\d\date: d3this should fail to parse the format and date but it actually works.the format is parsed as:pattern: d(\\p{isnd}++) 
67,67,"3 0.21253968253968256, 0 0.2080952380952381, 2 0.18698412698412697, 4 0.15142857142857144, 6 0.08587301587301585, 1 0.08365079365079363, 5 0.07142857142857144","the private method removeall(object array, int... indices) sorts the indices array, so arrays passed in by application code need to be cloned first.however, where the index array is generated locally, that is unnecessary.the removeelements() methods currently call the public removeall(<type>[] array, int... indices) methods, which clone the indices before calling the private removeall() method.the removeelements() methods should call the private method directly, avoiding the unnecessary clone call. "
68,68,"1 0.23756982467783863, 0 0.19943587190973952, 2 0.17988496211492727, 3 0.1372988219678115, 6 0.12858802057408328, 4 0.0707095846468669, 5 0.04651291410873293","the test below fails with the following error on jdk7, but succeeds on jdk6:testalllocales""java.lang.assertionerror: expected: <ja_jp_jp_#u-ca-japanese> but: was <ja_jp_jp_#u-ca-japanese> at org.hamcrest.matcherassert.assertthat(matcherassert.java:20) at org.hamcrest.matcherassert.assertthat(matcherassert.java:8) at com.scispike.foundation.test.unit.i18n.localestringconvertertest.teststringtolocale(localestringconvertertest.java:20) at com.scispike.foundation.test.unit.i18n.localestringconvertertest.testalllocales(localestringconvertertest.java:28) at org.apache.maven.surefire.testng.testngexecutor.run(testngexecutor.java:76) at org.apache.maven.surefire.testng.testngdirectorytestsuite.executemulti(testngdirectorytestsuite.java:161) at org.apache.maven.surefire.testng.testngdirectorytestsuite.execute(testngdirectorytestsuite.java:101) at org.apache.maven.surefire.testng.testngprovider.invoke(testngprovider.java:115) at org.apache.maven.surefire.util.reflectionutils.invokemethodwitharray(reflectionutils.java:189) at org.apache.maven.surefire.booter.providerfactory$providerproxy.invoke(providerfactory.java:165) at org.apache.maven.surefire.booter.providerfactory.invokeprovider(providerfactory.java:85) at org.apache.maven.surefire.booter.forkedbooter.runsuitesinprocess(forkedbooter.java:103) at org.apache.maven.surefire.booter.forkedbooter.main(forkedbooter.java:74)... removed 25 stack frames java.lang.assertionerror: expected: <ja_jp_jp_#u-ca-japanese> but: was <ja_jp_jp_#u-ca-japanese> at org.hamcrest.matcherassert.assertthat(matcherassert.java:20) at org.hamcrest.matcherassert.assertthat(matcherassert.java:8) at com.scispike.foundation.test.unit.i18n.localestringconvertertest.teststringtolocale(localestringconvertertest.java:20) at com.scispike.foundation.test.unit.i18n.localestringconvertertest.testalllocales(localestringconvertertest.java:28) at sun.reflect.nativemethodaccessorimpl.invoke0(native method) at sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:57) at sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:43) at java.lang.reflect.method.invoke(method.java:601) at org.testng.internal.methodinvocationhelper.invokemethod(methodinvocationhelper.java:80) at org.testng.internal.invoker.invokemethod(invoker.java:715) at org.testng.internal.invoker.invoketestmethod(invoker.java:907) at org.testng.internal.invoker.invoketestmethods(invoker.java:1237) at org.testng.internal.testmethodworker.invoketestmethods(testmethodworker.java:127) at org.testng.internal.testmethodworker.run(testmethodworker.java:111) at org.testng.testrunner.privaterun(testrunner.java:767) at org.testng.testrunner.run(testrunner.java:617) at org.testng.suiterunner.runtest(suiterunner.java:334) at org.testng.suiterunner.runsequentially(suiterunner.java:329) at org.testng.suiterunner.privaterun(suiterunner.java:291) at org.testng.suiterunner.run(suiterunner.java:240) at org.testng.suiterunnerworker.runsuite(suiterunnerworker.java:51) at org.testng.suiterunnerworker.run(suiterunnerworker.java:85) at org.testng.testng.runsuitessequentially(testng.java:1197) at org.testng.testng.runsuiteslocally(testng.java:1122) at org.testng.testng.run(testng.java:1030) at org.apache.maven.surefire.testng.testngexecutor.run(testngexecutor.java:76) at org.apache.maven.surefire.testng.testngdirectorytestsuite.executemulti(testngdirectorytestsuite.java:161) at org.apache.maven.surefire.testng.testngdirectorytestsuite.execute(testngdirectorytestsuite.java:101) at org.apache.maven.surefire.testng.testngprovider.invoke(testngprovider.java:115) at sun.reflect.nativemethodaccessorimpl.invoke0(native method) at sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:57) at sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:43) at java.lang.reflect.method.invoke(method.java:601) at org.apache.maven.surefire.util.reflectionutils.invokemethodwitharray(reflectionutils.java:189) at org.apache.maven.surefire.booter.providerfactory$providerproxy.invoke(providerfactory.java:165) at org.apache.maven.surefire.booter.providerfactory.invokeprovider(providerfactory.java:85) at org.apache.maven.surefire.booter.forkedbooter.runsuitesinprocess(forkedbooter.java:103) at org.apache.maven.surefire.booter.forkedbooter.main(forkedbooter.java:74)""org.hamcrest.matcherassert.assertthat(matcherassert.java:20)org.hamcrest.matcherassert.assertthat(matcherassert.java:8)com.scispike.foundation.test.unit.i18n.localestringconvertertest.teststringtolocale(localestringconvertertest.java:20)com.scispike.foundation.test.unit.i18n.localestringconvertertest.testalllocales(localestringconvertertest.java:28)sun.reflect.nativemethodaccessorimpl.invoke0(native method)sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:57)sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:43)java.lang.reflect.method.invoke(method.java:601)org.testng.internal.methodinvocationhelper.invokemethod(methodinvocationhelper.java:80)org.testng.internal.invoker.invokemethod(invoker.java:715)org.testng.internal.invoker.invoketestmethod(invoker.java:907)org.testng.internal.invoker.invoketestmethods(invoker.java:1237)org.testng.internal.testmethodworker.invoketestmethods(testmethodworker.java:127)org.testng.internal.testmethodworker.run(testmethodworker.java:111)org.testng.testrunner.privaterun(testrunner.java:767)org.testng.testrunner.run(testrunner.java:617)org.testng.suiterunner.runtest(suiterunner.java:334)org.testng.suiterunner.runsequentially(suiterunner.java:329)org.testng.suiterunner.privaterun(suiterunner.java:291)org.testng.suiterunner.run(suiterunner.java:240)org.testng.suiterunnerworker.runsuite(suiterunnerworker.java:51)org.testng.suiterunnerworker.run(suiterunnerworker.java:85)org.testng.testng.runsuitessequentially(testng.java:1197)org.testng.testng.runsuiteslocally(testng.java:1122)org.testng.testng.run(testng.java:1030)org.apache.maven.surefire.testng.testngexecutor.run(testngexecutor.java:76)org.apache.maven.surefire.testng.testngdirectorytestsuite.executemulti(testngdirectorytestsuite.java:161)org.apache.maven.surefire.testng.testngdirectorytestsuite.execute(testngdirectorytestsuite.java:101)org.apache.maven.surefire.testng.testngprovider.invoke(testngprovider.java:115)sun.reflect.nativemethodaccessorimpl.invoke0(native method)sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:57)sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:43)java.lang.reflect.method.invoke(method.java:601)org.apache.maven.surefire.util.reflectionutils.invokemethodwitharray(reflectionutils.java:189)org.apache.maven.surefire.booter.providerfactory$providerproxy.invoke(providerfactory.java:165)org.apache.maven.surefire.booter.providerfactory.invokeprovider(providerfactory.java:85)org.apache.maven.surefire.booter.forkedbooter.runsuitesinprocess(forkedbooter.java:103)org.apache.maven.surefire.booter.forkedbooter.main(forkedbooter.java:74)========== testimport static org.hamcrest.matcherassert.assertthat;import static org.hamcrest.matchers.equalto;import java.util.locale;import org.testng.annotations.test;import com.scispike.foundation.i18n.stringtolocaleconverter;public class localestringconvertertest { stringtolocaleconverter converter = new stringtolocaleconverter(); public void teststringtolocale(locale l) { string s = l.tostring(); assertthat(converter.convert(s), equalto(l)); } @test public void testalllocales() { locale[] locales = locale.getavailablelocales(); for (locale l : locales) { teststringtolocale(l); } }}========== stringtolocaleconverterimport java.util.locale;import org.apache.commons.lang3.localeutils;import org.springframework.core.convert.converter.converter;public class stringtolocaleconverter implements converter<string, locale> { @override public locale convert(string source) { if (source == null) { return localetostringconverter.default; } return localeutils.tolocale(source); }} "
69,69,"6 0.17334341143864954, 0 0.16452506928697405, 2 0.14512471655328796, 3 0.14512471655328796, 4 0.1292517006802721, 5 0.1292517006802721, 1 0.11337868480725626","the javadoc for numberutils.createnumber() states:""values with leading 0\s will not be interpreted as octal.""however,assertequals(25, numberutils.createnumber(""0025""));fails, because numberutils.createnumber(""0025"") returns 21. "
70,70,"0 0.2020757020757021, 3 0.19993894993894998, 2 0.18658424908424914, 4 0.15079365079365079, 6 0.11553724053724053, 1 0.08615689865689866, 5 0.058913308913308905","the core of {{org.apache.commons.lang3.text.translate}} is a {{hashmap<charsequence, charsequence> lookupmap}}.from the javadoc of {{charsequence}} (emphasis mine):{quote}this interface does not refine the general contracts of the equals and hashcode methods. the result of comparing two objects that implement charsequence is therefore, in general, undefined. each object may be implemented by a different class, and there is no guarantee that each class will be capable of testing its instances for equality with those of the other. *it is therefore inappropriate to use arbitrary charsequence instances as elements in a set or as keys in a map.*{quote}the current implementation causes code such as the following to not work as expected:{code}charsequence cs1 = ""1 < 2"";charsequence cs2 = charbuffer.wrap(""1 < 2"".tochararray());system.out.println(stringescapeutils.escape_html4.translate(cs1));system.out.println(stringescapeutils.escape_html4.translate(cs2));{code}... which gives the following results (but should be identical):{noformat}1 < 21 < 2{noformat}the problem, at a minimum, is that {{charbuffer.equals}} is even documented in the javadoc that:{quote}a char buffer is not equal to any other type of object.{quote}... so a lookup on a charbuffer in the map will always fail when compared against the string implementations that it contains.an obvious work-around is to instead use something along the lines of either of the following:{code}system.out.println(stringescapeutils.escape_html4.translate(cs2.tostring()));system.out.println(stringescapeutils.escapehtml4(cs2.tostring()));{code}... which forces everything back to a {{string}}. however, this is not practical when working with large sets of data, which would require significant heap allocations and garbage collection concerns. (as such, i was actually trying to use the {{translate}} method that outputs to a {{writer}} - but simplified the above examples to omit this.)another option that im considering is to use a custom {{charsequence}} wrapper around a {{char[]}} that implements {{hashcode()}} and {{equals()}} to work with those implemented on {{string}}. (however, this will be interesting due to the symmetric assumption - which is further interesting that {{string.equals}} is currently implemented using {{instanceof}} - even though {{string}} is {{final}}...) "
71,71,"4 0.212533498247784, 3 0.16924345495774068, 0 0.14471243042671614, 2 0.1302824159967017, 5 0.1302824159967017, 1 0.12018140589569161, 6 0.09276437847866421","endswithany was added in response to this task: lang-614documentation says that the method returns ""true if the charsequence starts with any of the the prefixes, case insensitive, or both null"" stringutils.endswithany(""mime/type"", ""type"") truestringutils.endswithany(""mime/type"", ""type"") false "
72,72,"3 0.17863441672965485, 4 0.16099773242630386, 0 0.15217939027462837, 6 0.15217939027462837, 2 0.1292517006802721, 1 0.11337868480725627, 5 0.11337868480725627","the static method localeutils.tolocale() fails, at least, to parse 3-char locale strings, which are completelly valid bcp47 locales. "
