,Document_No,Topics,Text
919,919,"6 0.15783168613357293, 0 0.1515423779574723, 5 0.15154237795747227, 1 0.13477088948787064, 2 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064",1154fastdateformat apis that use a stringbuilder
920,920,"5 0.22722330941509025, 2 0.21200260926288325, 3 0.157208088714938, 6 0.1100239182430963, 0 0.09784735812133075, 1 0.09784735812133075, 4 0.09784735812133075",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.add final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
921,921,"0 0.17191283292978207, 2 0.1606133979015335, 6 0.15496368038740918, 4 0.13801452784503632, 1 0.1285983319881625, 3 0.12483185364541301, 5 0.12106537530266348","functions.java whitspacesreplace tabs with four spaces, as per the projects checkstyle rules.added functions.trywithresources."
922,922,"3 0.20122887864823347, 6 0.17434715821812594, 4 0.1474654377880184, 2 0.12954429083461344, 1 0.11699948796722993, 0 0.11520737327188943, 5 0.11520737327188943",remove redundant type arguments.add final modifier to local variables.add serialization support to eventlistenersupport
923,923,"5 0.27192297684100963, 6 0.13895394223263072, 1 0.12073900598490764, 0 0.117096018735363, 2 0.117096018735363, 3 0.117096018735363, 4 0.117096018735363",trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
924,924,"0 0.2523809523809524, 2 0.1357142857142857, 1 0.13386243386243385, 3 0.12089947089947091, 4 0.11904761904761905, 5 0.11904761904761905, 6 0.11904761904761905",adding vincent ricards patch to charrange.java providing an iterator that lets you walk the chars in the range. 454
925,925,"0 0.21924603174603172, 2 0.1498015873015873, 6 0.14285714285714282, 4 0.13591269841269837, 5 0.11855158730158732, 1 0.11681547619047622, 3 0.11681547619047622","functions.java whitspacesreplace tabs with four spaces, as per the projects checkstyle rules.adding the functions class as a helper for dealing with java 8 lambdas."
926,926,"6 0.2073260073260073, 3 0.19877899877899877, 4 0.12698412698412695, 2 0.12527472527472527, 0 0.12014652014652016, 1 0.11159951159951162, 5 0.1098901098901099","add final modifier to local variables.<action issue="""" type=""add"">strbuilder should support stringbuilder as an input parameter</action>"
927,927,"0 0.16931216931216928, 3 0.15079365079365076, 4 0.14256319811875368, 2 0.14050558495002943, 1 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",refactor range with lots of new methods
928,928,"0 0.2769996887643947, 4 0.18440709617180207, 2 0.14083411142234672, 3 0.12340491752256456, 6 0.1212262682850918, 5 0.07983193277310922, 1 0.07329598506069096",make code more readable with less nesting (move block out of elseclause).: performance improvements for numberutils.isparsable ()~2.5x performance increase wrt 3.4 version; added a couple checks more to unit testsfixing crlfsstatement unnecessarily nested within else clause.simplify statement by calling substring on str directly. stringutils.startswith makes sure that str is not null at this point. improvement suggested by sebb.: numberutilsisparsable method(s). apply juan pablosantos rodríguez patch for handling negative numbers.: numberutilsisparsable method(s). thanks to juan pablo santos rodríguez.
929,929,"3 0.18783068783068776, 5 0.14873603762492646, 6 0.13433274544385657, 0 0.1322751322751323, 1 0.1322751322751323, 2 0.1322751322751323, 4 0.1322751322751323",: fastdateformat doesnt respect summer daylight in some localized strings
930,930,"3 0.16800976800976802, 4 0.16288156288156289, 6 0.15604395604395602, 2 0.1492063492063492, 0 0.14065934065934066, 1 0.11330891330891334, 5 0.10989010989010992",add final modifier to local variables.support varargs in strbuilder.appendall(); also convert iterable form of method to use enhanced for loop
931,931,"1 0.209992193598751, 4 0.14077543585740307, 0 0.13531095498308612, 3 0.1334894613583138, 2 0.1298464741087692, 5 0.12984647410876918, 6 0.12073900598490768",flips the order of conditional expressions and if statements whose conditions were negated: optimize bitfield constructor implementation ()
932,932,"0 0.18392542202066015, 4 0.18216175359032505, 3 0.13983371126228267, 6 0.13630637440161247, 2 0.12572436381960195, 5 0.11866969009826157, 1 0.11337868480725627",removes unnecessary class reference of static method calls which are declared in the same classuse final consistently. [] new type util features
933,933,"3 0.3130158730158731, 2 0.14708994708994708, 6 0.12190476190476189, 4 0.11894179894179892, 1 0.10412698412698415, 0 0.0996825396825397, 5 0.09523809523809526",fix non-critical typos in comments and javadocfix typos in several local variablesscope of local variabel shift can be narrowerpmd: useless parenthesesformat to 120 line length.removed unnecessary multiplication by one.add final modifier to local variables.add final modifier to method parameters.
934,934,"3 0.3520492774224117, 2 0.10992655768775172, 1 0.10826818289504858, 4 0.10826818289504858, 6 0.10826818289504858, 0 0.10660980810234542, 5 0.10660980810234542","refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
935,935,"4 0.16624895572263992, 0 0.1584516847674742, 1 0.15650236702868278, 2 0.14285714285714282, 3 0.1253132832080201, 5 0.1253132832080201, 6 0.1253132832080201",[github] commons-lang pull request : intellij idea refactorings..
936,936,"2 0.3985260770975057, 3 0.13794406651549504, 1 0.10222978080120933, 0 0.0929705215419501, 6 0.0929705215419501, 4 0.09032501889644748, 5 0.08503401360544219",add final modifier to local variables.better javadoc for arrayutils.swap variantscrlf -> lfjavadoc: fix typo but working is still awkward.merge branch : inconsistent behavior of swap for malformed inputs. thanksto adrian ber.consistent treatment for negative indices for swap methodexamples added in javadoctabs replaced by spacesnew tests addedswap and shift for arrays
937,937,"2 0.22874149659863938, 4 0.13151927437641722, 1 0.12953514739229025, 0 0.12755102040816327, 3 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",crlf -> lfjavadoc: fix typo but working is still awkward.
938,938,"5 0.28285193858964347, 4 0.12438199323445225, 0 0.12073900598490762, 1 0.11891751236013531, 6 0.11891751236013531, 2 0.11709601873536299, 3 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
939,939,"6 0.29221648498756936, 5 0.1985083189902467, 3 0.14629948364888123, 2 0.0954293363931918, 0 0.09275196022183976, 1 0.08873589596481164, 4 0.08605851979345958",: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)add final modifier to local variables.refactor some duplicate code.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
940,940,"4 0.19897959183673466, 0 0.16326530612244894, 1 0.1275510204081633, 2 0.1275510204081633, 3 0.1275510204081633, 5 0.1275510204081633, 6 0.1275510204081633", - stackoverflowerror on typeutils.tostring(...) for a generic return type of enum.valueof ()
941,941,"1 0.7002629272567923, 2 0.060862790924140604, 3 0.05472782159898724, 4 0.04927451553218423, 5 0.04722952575713313, 0 0.043821209465381254, 6 0.043821209465381254",add final modifier to method parameters.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
942,942,"5 0.26858150667674474, 3 0.12925170068027209, 4 0.12748803224993702, 1 0.12396069538926682, 0 0.12219702695893173, 6 0.11514235323759134, 2 0.11337868480725624",change calendar.getinstance to new gregoriancalendarrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
943,943,"2 0.25978835978835974, 6 0.1412698412698412, 1 0.1208994708994709, 4 0.1208994708994709, 0 0.11904761904761904, 3 0.11904761904761904, 5 0.11904761904761904","make sure placement of curly braces is consistent: add support for varargs in constructorutils, memberutils, and methodutilsthis from github."
944,944,"4 0.228110599078341, 2 0.14388120839733742, 0 0.1313364055299539, 5 0.1313364055299539, 3 0.12596006144393246, 1 0.12416794674859194, 6 0.11520737327188943","sort members.: add stringutilsisanynotempty and isanynotblank ()applying alexander muthmanns patch from , adding isblank/isempty charsequence... variants"
945,945,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] new type util features
946,946,"4 0.19211822660098518, 6 0.15188834154351394, 0 0.1461412151067323, 3 0.13464696223316916, 2 0.12698412698412703, 1 0.12506841817186648, 5 0.12315270935960594",[] add null-safe stringutils apis to wrapstringgetbytes([charset|string]).</action>
947,947,"5 0.2727513227513227, 6 0.13201058201058197, 0 0.11904761904761904, 1 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
948,948,"2 0.17599554441659698, 0 0.1662489557226399, 1 0.13895850737955998, 4 0.13311055416318573, 3 0.1311612364243943, 5 0.1292119186856029, 6 0.12531328320802007","use validatenotnull instead of ""throw new nullpointerexception""adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
949,949,"6 0.42800955190335727, 5 0.15957297373226573, 3 0.1271245961511448, 4 0.08189352437140045, 2 0.07304396684927657, 0 0.06616097766540245, 1 0.06419440932715269","make sure lines in files dont have trailing white spaces and remove all trailing white spacesremove redundant type arguments.: fastdateformat support of the week-year component (uppercase y): fastdateformat support of the week-year component (uppercase y) partial: implement format u for fastdateformat, day number of weekzz format not displaying z for utc with openjdk 6replace tabs with spaces fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .add final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
950,950,"0 0.24423963133640553, 3 0.1474654377880184, 4 0.14567332309267791, 2 0.11699948796722992, 1 0.11520737327188942, 5 0.11520737327188942, 6 0.11520737327188942",: typeutils.isassignable throws nullpointerexception when fromtype has type variables and totype generic superclass specifies type variable ()
951,951,"3 0.20259740259740258, 2 0.146031746031746, 1 0.13189033189033192, 0 0.12987012987012989, 4 0.12987012987012989, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to local variables.
952,952,"0 0.19137466307277626, 1 0.13477088948787064, 2 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064, 5 0.13477088948787064, 6 0.13477088948787064",use not bool instead of bool == false
953,953,"2 0.24497354497354495, 3 0.13386243386243385, 0 0.13015873015873014, 1 0.12645502645502646, 5 0.12645502645502646, 4 0.11904761904761905, 6 0.11904761904761905","dont need internal ivar name for a boolean to carry a ""flag"" postfix.adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
954,954,"0 0.1662337662337662, 3 0.1662337662337662, 6 0.14805194805194802, 1 0.12987012987012989, 2 0.12987012987012989, 4 0.12987012987012989, 5 0.12987012987012989",: fastdateparser could use calendar.getdisplaynames for all text fields
955,955,"6 0.4260429835651075, 5 0.1615395420705155, 3 0.12909116448939456, 4 0.0838600927096502, 2 0.06911083017277707, 0 0.06616097766540245, 1 0.06419440932715269","make sure lines in files dont have trailing white spaces and remove all trailing white spacesremove redundant type arguments.: fastdateformat support of the week-year component (uppercase y): fastdateformat support of the week-year component (uppercase y) partial: implement format u for fastdateformat, day number of weekzz format not displaying z for utc with openjdk 6replace tabs with spaces fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .add final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
956,956,"3 0.22271825396825395, 2 0.18973214285714285, 6 0.12723214285714282, 4 0.12028769841269843, 1 0.11681547619047619, 0 0.11160714285714288, 5 0.11160714285714288",add final modifier to local variables.add final modifier to method parameters.[] added support for concurrentmap.putifabsent() to concurrentutils.
957,957,"3 0.2424475166410651, 2 0.15284178187403993, 0 0.1313364055299539, 4 0.12775217613927292, 1 0.11520737327188944, 5 0.11520737327188944, 6 0.11520737327188944",add final modifier to local variables.add final modifier to method parameters.[] vastly expanded typeutils
958,958,"6 0.19897959183673466, 5 0.14342403628117908, 3 0.1414399092970521, 0 0.12953514739229027, 2 0.12953514739229027, 4 0.12953514739229027, 1 0.1275510204081633"," partial: implement format u for fastdateformat, day number of week"
959,959,"5 0.26904761904761904, 6 0.13015873015873014, 1 0.1246031746031746, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
960,960,"4 0.24648526077097507, 3 0.1766439909297052, 6 0.15442176870748295, 2 0.11156462585034013, 1 0.10680272108843539, 0 0.10204081632653063, 5 0.10204081632653063",use validateistrue to validate argumentsformat to 120 line length.add final modifier to local variables.remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)
961,961,"4 0.1910430839002267, 6 0.155328798185941, 3 0.1354875283446712, 2 0.13350340136054423, 0 0.12953514739229027, 1 0.1275510204081633, 5 0.1275510204081633",sort methods.remove redundant type arguments.
962,962,"2 0.18783068783068776, 4 0.14256319811875368, 3 0.1384479717813051, 0 0.13433274544385657, 1 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: added shuffle methods to arrayutils
963,963,"6 0.278829604130809, 5 0.1904761904761905, 3 0.16504111684834577, 0 0.09275196022183975, 2 0.09275196022183975, 4 0.09141327213616372, 1 0.08873589596481164","zz format not displaying z for utc with openjdk 6replace tabs with spaces fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .add final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
964,964,"0 0.20521541950113378, 4 0.17505668934240362, 2 0.15600907029478456, 6 0.13061224489795917, 5 0.11791383219954646, 1 0.11156462585034013, 3 0.10362811791383221",reverting changes from r1661762 () for now until we have consensus about this change.: remove busy wait from atomicsafeinitializer.get(). this also fixes from github. thanks to github user artnaseef.[] added atomicsafeinitializer class. thanks to alexander dot apanasovich at gmail dot com for the proposal.
965,965,"2 0.18988830099941206, 4 0.14050558495002943, 1 0.13639035861258086, 3 0.13639035861258086, 0 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: added shuffle methods to arrayutils
966,966,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
967,967,"3 0.3490079365079365, 2 0.19484126984126982, 6 0.09484126984126984, 1 0.09345238095238097, 0 0.08928571428571429, 4 0.08928571428571429, 5 0.08928571428571429","make whitespace use after tokens consistent and add a checkstyle rule to enforce it.add final modifier to local variables.refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
968,968,"5 0.1536388140161725, 6 0.1536388140161725, 2 0.14734950584007186, 1 0.14106019766397127, 0 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064",checkstyle and trailing spaces.
969,969,"1 0.6982179374817412, 2 0.059499464407439855, 3 0.05540948485733761, 4 0.05063784204888498, 0 0.04654786249878275, 5 0.04586619924043238, 6 0.043821209465381254",add final modifier to method parameters.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
970,970,"5 0.25420516465292586, 3 0.17957829898128402, 6 0.12651030561478321, 2 0.11987680644397063, 0 0.10660980810234544, 1 0.10660980810234544, 4 0.10660980810234544",format.add final modifier to local variables.trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
971,971,"3 0.22278911564625845, 2 0.1354875283446712, 1 0.13151927437641722, 0 0.12755102040816327, 4 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",fixing crlfsstatement unnecessarily nested within else clause.add threadutils
972,972,"6 0.35612968591692, 3 0.24265450861195537, 5 0.0889902060114826, 2 0.0818980074299223, 4 0.07835190813914218, 0 0.07598784194528875, 1 0.07598784194528875","make sure lines in files dont have trailing white spaces and remove all trailing white spaces: fastdateformat support of the week-year component (uppercase y): fastdateformat support of the week-year component (uppercase y) partial: implement format u for fastdateformat, day number of weekrefactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
973,973,"2 0.1915900863269284, 0 0.16040100250626563, 4 0.13700918964076858, 1 0.13116123642439428, 3 0.1292119186856029, 5 0.12531328320802007, 6 0.12531328320802007",[] add methods to classutils to get various forms of classnames in a null-safe manner
974,974,"2 0.23072562358276635, 1 0.12953514739229025, 4 0.12953514739229025, 0 0.12755102040816327, 3 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",crlf -> lfjavadoc: fix typo but working is still awkward.
975,975,"6 0.4073517126148706, 5 0.16758563074352545, 2 0.09390142021720967, 3 0.08571428571428569, 4 0.08571428571428569, 0 0.08454469507101083, 1 0.07518796992481204","[] timezone.gettimezone() in fastdateparser causes resourcecontention</action>. this .utc and gmt are the same, so simplify.refactor ""gmt"" magic string.make sure lines in files dont have trailing white spaces and remove all trailing white spaces fastdateparser and fastdateprinter support x formatadded missing support for iso 8601 parsing and printing using ""zz"" pattern (code now matches javadoc). addresses .trailing spaces fastdateparser does not handle non-gregorian calendars properly unnecessary ;applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
976,976,"2 0.18574213311055413, 1 0.14870509607351712, 3 0.1487050960735171, 4 0.1370091896407686, 0 0.1292119186856029, 5 0.12531328320802007, 6 0.12531328320802007","dont use single letter variable names.adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
977,977,"5 0.2883164194639604, 0 0.12256049960967995, 6 0.12073900598490764, 1 0.117096018735363, 2 0.117096018735363, 3 0.117096018735363, 4 0.117096018735363",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
978,978,"5 0.2864949258391881, 4 0.12620348685922456, 1 0.11891751236013531, 0 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299, 6 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
979,979,"4 0.17679255610290093, 0 0.17104542966611933, 5 0.1384783798576902, 3 0.13847837985769018, 6 0.12889983579638756, 1 0.12315270935960594, 2 0.12315270935960594","[] create strbuilder apis similar to string.format(string, object...)"
980,980,"3 0.20259740259740255, 2 0.14199134199134197, 1 0.13593073593073596, 0 0.12987012987012986, 4 0.12987012987012986, 5 0.12987012987012986, 6 0.12987012987012986",add final modifier to local variables.
981,981,"0 0.25968253968253974, 3 0.14857142857142858, 4 0.1367195767195767, 5 0.1219047619047619, 2 0.11746031746031746, 6 0.11746031746031746, 1 0.09820105820105823","add final modifier to local variables.avoid throwing checked exceptions from annotationutils.hashcode()additional javadoc; remove illegalargumentexception from throws clauseaddress the invalidity of null annotation membersadd hashcode and tostring methods to annotationutils, plus tests"
982,982,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",validation[] new type util features
983,983,"4 0.24384236453201968, 2 0.1403940886699507, 0 0.12315270935960593, 1 0.12315270935960593, 3 0.12315270935960593, 5 0.12315270935960593, 6 0.12315270935960593","moving lastindexof, contains, containswhitespace, indexofany, containsany, indexofanybut, containsonly, containsnone and substring over to using charsequences for parameters. 687"
984,984,"1 0.7023079170318435, 2 0.05881780114908948, 3 0.05609114811568799, 4 0.04859285227383388, 5 0.04654786249878275, 0 0.043821209465381254, 6 0.043821209465381254",add final modifier to method parameters.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
985,985,"0 0.31285944329422594, 2 0.12606395215090868, 4 0.11801242236024843, 5 0.11801242236024843, 1 0.1083505866114562, 3 0.1083505866114562, 6 0.1083505866114562",use lowercase presentation for hex values as it is done in the jdk.use jdk functionality where available.use conversion tables for boolean arrays.avoid unnecessary conversions.use stringbuilder instead of stringbuffer.: add conversion utility to convert between data types on byte level
986,986,"5 0.26858150667674474, 4 0.13454270597127738, 3 0.12925170068027209, 0 0.12043335852859664, 1 0.11866969009826156, 6 0.11514235323759135, 2 0.11337868480725626",change calendar.getinstance to new gregoriancalendarrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
987,987,"4 0.19211822660098518, 0 0.15188834154351394, 6 0.1461412151067323, 3 0.13081554460864808, 2 0.13081554460864805, 1 0.12506841817186648, 5 0.12315270935960594",[] add null-safe stringutils apis to wrapstringgetbytes([charset|string]).</action>
988,988,"0 0.2940061596778014, 2 0.14143567874911153, 4 0.12319355602937687, 6 0.11324330727315801, 1 0.11158493248045487, 3 0.10992655768775171, 5 0.10660980810234541",code clean-up for checkstyle.document exceptions. use illegalargumentexception instead of assert. throw illegalargumentexception for empty arrays.avoid unnecessary conversions.use stringbuilder instead of stringbuffer.: add conversion utility to convert between data types on byte level
989,989,"5 0.27460317460317457, 1 0.1246031746031746, 6 0.1246031746031746, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
990,990,"0 0.20279554607912814, 3 0.15636105188343993, 6 0.1530443022980336, 2 0.1298270552001895, 5 0.1231935560293769, 4 0.12153518123667374, 1 0.11324330727315804",numberutilswithdecimalsparsing: eliminate redundant calculation of isdecimalpoint. (): performance improvements for numberutils.isparsable ()~2.5x performance increase wrt 3.4 version; added a couple checks more to unit tests
991,991,"3 0.3537076522151148, 6 0.10992655768775171, 2 0.10826818289504857, 4 0.10826818289504857, 0 0.10660980810234541, 1 0.10660980810234541, 5 0.10660980810234541","refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
992,992,"4 0.20279554607912814, 3 0.18455342335939348, 0 0.15967780146884622, 2 0.12485193082208004, 6 0.11324330727315804, 1 0.10826818289504858, 5 0.10660980810234542",deprecate systemutilsline_separator in favor of java.lang.systemlineseparatorremove redundant type arguments.add final modifier to local variables.eat own dog food: stringutilsisempty(string) and replace some but not all stringlength() == 0 with stringisempty()
993,993,"6 0.22274264897215715, 0 0.15716887848035385, 2 0.13348946135831377, 4 0.13348946135831377, 5 0.11891751236013534, 1 0.117096018735363, 3 0.117096018735363","<action issue="""" type=""fix"">stringescapeutils.escapejava() and escapeecmascript() do not output the escaped surrogate pairs that are java parsable</action>"
994,994,"3 0.1662337662337662, 2 0.1642135642135642, 4 0.146031746031746, 0 0.13189033189033192, 1 0.13189033189033192, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to method parameters.
995,995,"3 0.35873015873015873, 2 0.17956349206349206, 6 0.09761904761904762, 1 0.09484126984126984, 4 0.09067460317460319, 0 0.08928571428571429, 5 0.08928571428571429","make whitespace use after tokens consistent and add a checkstyle rule to enforce it.add final modifier to local variables.refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
996,996,"0 0.17989417989417988, 4 0.15260373155109996, 2 0.14090782511835145, 5 0.1370091896407686, 3 0.13311055416318576, 6 0.13116123642439434, 1 0.1253132832080201", added alternative checked exception wrapping/unwrapping methods
997,997,"0 0.4130472701901274, 2 0.12489098203383915, 3 0.10657596371882083, 4 0.09558695272980984, 6 0.09314495028780741, 1 0.08826094540380251, 5 0.07849293563579278","strsubstitutor can preserve escapesstrsubstitutor can now optionally preserve the escape character for anescaped reference, which is useful when substitution takes place inmultiple phases and some references are intentionally unresolved. priorto this change, an unresolved reference `${a}` and an escaped reference`$${a}` may result in the same string `${a}`, making it impossible foran additional substitution phase to distinguish between escapedreferences and non-escaped references.add final modifier to method parameters.[] added support for substitution in variable names."
998,998,"5 0.2783068783068782, 6 0.12645502645502643, 0 0.11904761904761904, 1 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
